Name,Price,Link,Customer Review,Review Count,Seller,Specs List(If Applicable),Item Description,Shipping Option,Returning Option,Item Stock Level
"CUK MSI GF65 Thin Gaming Laptop (Intel i7-9750H, 16GB RAM, 512GB NVMe SSD, NVIDIA GeForce RTX 2060 6GB, 15.6"" FHD 120Hz IPS-Level, Windows 10 Home) Gamer Notebook Computer","$1,123.99",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A025971635N2Q848K4WMC&url=%2FGF65-i7-9750H-IPS-Level-Notebook-Computer%2Fdp%2FB07YLW2Y3G%2Fref%3Dsr_1_43_sspa%3Fkeywords%3Dgaming%2Blaptop%26qid%3D1583954959%26sr%3D8-43-spons%26psc%3D1&qualifier=1583954959&id=515927864174706&widgetName=sp_mtf,4.5,35,Computer Upgrade King,16GB RAM | 512GB NVMe SSD / 32GB RAM | 1TB NVMe SSD / 32GB RAM | 2TB NVMe SSD / 32GB RAM | 512GB NVMe SSD / 64GB RAM | 1TB NVMe SSD / 64GB RAM | 2TB NVMe SSD,"Processor: Intel Core i7-9750H Six Core Processor (12MB Cache, 2.6GHz-4.5GHz) 45W 
 RAM: 16GB DDR4 2666MHz | Hard Drive: 512GB NVMe Solid State Drive 
 Keyboard: Single Backlight with Anti-Ghost Key + Silver Lining | Operating System: Windows 10 Home x64 
 Graphics: NVIDIA GeForce RTX 2060 6GB GDDR6 | Display: 15.6"" Full HD 120Hz IPS-Level Thin Bezel Display (1920 x 1080) 
 16GB RAM Upgrade | 3-Year CUK Limited Warranty (View warranty section below for more details.)",FREE Shipping,FREE Returns,Only 11 left in stock - order soon.
"Acer Predator Helios 300 Gaming Laptop, Intel Core i5-9300H, GeForce GTX 1660 Ti, 15.6"" Full HD 120Hz Display, 3ms Response Time, 8GB DDR4, 512GB PCIe NVMe SSD, Backlit Keyboard, PH315-52-588F,Black",$899.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_2?ie=UTF8&adId=A08846903NCCYSSWKWIB7&url=%2FAcer-Predator-i5-9300H-Response-PH315-52-588F%2Fdp%2FB07YM9ZB3N%2Fref%3Dsr_1_44_sspa%3Fkeywords%3Dgaming%2Blaptop%26qid%3D1583954959%26sr%3D8-44-spons%26psc%3D1&qualifier=1583954959&id=515927864174706&widgetName=sp_mtf,4.5,1695,Acer,i5-9300H/GTX 1660Ti/8GB/512GB / i7-9750H/GTX 1660Ti/16GB/256GB / i7-9750H/GTX 1660Ti/16GB/512GB / i7-9750H/RTX 2060/16GB/512GB / Notebook only / Notebook with headset / Notebook with mousepad,"9th Generation Intel Core i5-9300H 4-Core Processor (Up to 4.1GHz) with Windows 10 Home 64 Bit 
 NVIDIA GeForce GTX 1660 Ti Graphics with 6 GB of dedicated GDDR6 VRAM 
 15.6"" Full HD (1920 x 1080) Widescreen LED-backlit IPS display (120Hz Refresh Rate, 3ms Overdrive Response Time, 300nit Brightness & 72% NTSC) 
 8GB DDR4 2666MHz Memory, 512GB PCIe NVMe SSD (2 x PCIe M.2 Slots | 1 Slot Open for Easy Upgrades) & 1 - Available Hard Drive Bay 
 Backlit Keyboard | LAN: Killer Gaming Network E2500 | Wireless: Killer DoubleShot Pro Wireless-AX 1650 WiFi 6 802.11ac | 4th Gen All-Metal AeroBlade 3D Fan",FREE Shipping,FREE Returns,Only 2 left in stock (more on the way).
"2019 ASUS TUF 17.3"" FHD Gaming Laptop Computer, AMD Ryzen 7 3750H Quad-Core up to 4.0GHz, 16GB DDR4 RAM, 512GB PCIE SSD + 2TB HDD, GeForce GTX 1650 4GB, 802.11ac WiFi, Bluetooth 4.2, HDMI, Windows 10",$940.00,https://www.amazon.com/ASUS-TUF-Gaming-Quad-Core-Bluetooth/dp/B07V6DG5ZC/ref=sr_1_45?keywords=gaming+laptop&qid=1583954959&sr=8-45,4.2,34,ASUS,N/A,"The powerful AMD Ryzen 7 3750H Quad-Core (2. 3GHz base frequency, up to 4. 0GHz burst frequency) APU is quick and versatile, with quad cores and eight threads capable of cutting through day-to-day work. 
 17. 3"" IPS-Level Full HD Widescreen LED Display (1920 x 1080) Display boasts impressive color and clarity. NVIDIA GeForce GTX 1650 Graphics backed by 4GB GDDR5 dedicated video memory for an ultrafast, advanced GPU to fuel your games. 
 16GB DDR4 2400MHz Memory for full-power multitasking; 512GB M. 2 NVMe PCIe SSD + 2TB HDD for faster performance and better reliability; Pci-e SSDs are great for major gaming applications, multiple servers, daily backups, and more, dual drives ensure faster performance and better reliability. 
 802. 11 Wireless-AC + Bluetooth 4. 2, 1 x USB 3. 1, 1 x USB 2. 0, 1 x HDMI 2. 0 
 Windows 10 Home 64-bit; RGB backlit keyboard allows you to enjoy comfortable and accurate typing, even in dim lighting.",N/A,N/A,In Stock.
"2020 ASUS TUF 17.3"" FHD VR Ready Gaming Laptop Computer, AMD Ryzen 7 3750H Quad-Core (Beats i7-8565u), 8GB DDR4 RAM, 512GB PCIE SSD, NVIDIA GeForce GTX 1650 4GB, Windows 10 Home, YZAKKA Accessories",$849.00,https://www.amazon.com/ASUS-TUF-Computer-Quad-Core-Accessories/dp/B0857JP735/ref=sr_1_46?keywords=gaming+laptop&qid=1583954959&sr=8-46,4.3,8,ASUS,"8GB DDR4 RAM, 512GB PCIE SSD / 16GB DDR4 RAM, 512GB PCIe SSD / 24GB DDR4 RAM, 1TB PCIe SSD / 24GB DDR4 RAM, 2TB PCIe SSD / 32GB DDR4 RAM, 1TB PCIe SSD / 32GB DDR4 RAM, 2TB PCIe SSD","AMD Ryzen 7 3750H Quad-Core (2. 3GHz base frequency, up to 4. 0GHz burst frequency) APU is quick and versatile, with quad cores and eight threads capable of cutting through day-to-day work. 
 Beautiful 17. 3"" IPS-Level Full HD Widescreen LED Display (1920 x 1080) Display boasts impressive color and clarity. NVIDIA GeForce GTX 1650 Graphics backed by 4GB GDDR5 dedicated video memory for an ultrafast, advanced GPU to fuel your games. 
 8GB DDR4 2400MHz Memory for full-power multitasking; 512GB PCIe SSD for faster performance and better reliability; Pci-e SSDs are great for major gaming applications, multiple servers, daily backups, and more, dual drives ensure faster performance and better reliability. 
 802. 11 Wireless-AC + Bluetooth 4. 2, 1 x USB 3. 1, 1 x USB 2. 0, 1 x HDMI 2. 0 
 Windows 10 Home, 64-bit, English; Black, RGB backlit keyboard; YZAKKA USB extension cord 6ft, HDMI cable 6ft and Mouse Pad",N/A,N/A,Only 19 left in stock - order soon.
"ASUS Vivobook K571 Laptop, 15.6” FHD, Intel Core i7-9750H CPU, NVIDIA GeForce GTX 1650, 16GB RAM, 256GB PCIe Nvme SSD + 1TB HDD, Windows 10 Home, K571GT-EB76, Star Black","$1,049.99",https://www.amazon.com/ASUS-Vivobook-i7-9750H-GeForce-K571GT-EB76/dp/B07VLPQCNZ/ref=sr_1_47?keywords=gaming+laptop&qid=1583954959&sr=8-47,4.4,61,ASUS,120Hz | i7-9750H | GTX 1650 / R5-2500U | GTX 1050,"15.6 inches 120Hz Nano edge full HD display 
 Powerful Intel Core i7-9750h processor (12M Cache, up to 4.5 GHz) 
 NVIDIA GeForce GTX 1650 4GB GDDR5 with Windows 10 Home 
 16GB DDR4 RAM, 256GB PCIe NVMe SSD,1TB HDD 
 Comprehensive connections including USB 3.1 Type-C, USB 3.1 Type-A, USB 2.0, and HDMI; Wi-Fi 5/802.11AC Wi-Fi (USB transfer speed may vary. Learn more at Asus website) 
 System_ram_type: ddr4_sdram. Bluetooth 5.0 
 Connectivity_technology: Bluetooth ; Ethernet ;HDMI ;USB ; Wi-Fi",FREE Shipping,FREE Returns,Only 18 left in stock (more on the way).
"MSI Modern 14 A10M-460 14"" Ultra Thin and Light Professional Laptop Intel Core i5-10210UUMA 8GB DDR4 512GB NVMe SSD Win10 Home",$748.98,https://www.amazon.com/MSI-Modern-A10M-460-Professional-i5-10210UUMA/dp/B07WC93HJB/ref=sr_1_48?keywords=gaming+laptop&qid=1583954959&sr=8-48,4.3,19,N/A,"14""|GTX1650|4k|i7-10710U|16GB|1TB NVMe / 14""|GTX1650|i7-10710U|16GB|512GB NVMe / 14""|MX250|i5-10210U|8GB|512GB NVMe / 14""|i5-10210U|8GB|512GB NVMe / 15.6""|GTX1050Ti|i7-8565U|16GB|512GB NVMe / 14""|GTX1650|i5-10210U|16GB|512GB NVMe","14"" THIN BEZEL Full HD IPS-Level 72% NTSC1920x108016: 9UMA 
 UMA HDMI-out 4K @ 30Hz 
 HDD 512GB NV Me SSD 8GB (8G*1)DDR4 2666MHz 1 Sockets; Max Memory 32GB 
 CPU 4 CORE i5-10210U 1. 6 - 4. 2GHz - 
 USB 3. 1 Gen 1 Type C *2 USB 3. 2 Gen1 *2 Wireless Intel 9560 Jefferson Peak (2x2 802. 11 ac) BT 5 720p HD Webcam",FREE Shipping,FREE Returns,Only 13 left in stock (more on the way).
"Acer Predator Helios 300 Gaming Laptop PC, 17.3"" Full HD 144Hz 3ms IPS Display, Intel i7-9750H, GeForce GTX 1660 Ti 6GB, 16GB DDR4, 512GB NVMe SSD, RGB Backlit Keyboard,  PH317-53-7777","$1,370.00",https://www.amazon.com/Acer-Predator-i7-9750H-Keyboard-PH317-53-7777/dp/B07V4QFKDM/ref=sr_1_50?keywords=gaming+laptop&qid=1583954959&sr=8-50,4.1,37,N/A,N/A,"9th Generation Intel Core i7-9750h 6-Core Processor (Upto 4. 5 gramHz) with Windows 10 Home 64 Bit 
 Nvidia GeForce GTX 1660 Ti graphics with 6 GB of dedicated GDDR6 VRAM 
 17. 3"" Full HD (1920 x 1080) widescreen LED-backlit IPS display (144Hz refresh rate, 3ms Overdrive responde time, 300Nit Brightness & 72% NTSC ) 
 16 GB DDR4 2666MHz Memory, 512GB PCIe NVMe SSD (2 x PCIe M. 2 slots | 1 slot open for easy upgrades) & 1 - Available hard drive bay 
 4-Zone RGB backlit Keyboard | LAN: Killer Gaming Network E2500 | wireless: Killer DoubleShot Pro Wireless-AC 1550 802. 11AC | 4th gen All-Metal AeroBlade 3D fan",FREE Shipping,FREE Returns,Only 13 left in stock - order soon.
"CUK MSI GF65 Thin Gaming Laptop (Intel i7-9750H, 32GB RAM, 1TB NVMe SSD, NVIDIA GeForce RTX 2060 6GB, 15.6"" FHD 120Hz IPS-Level, Windows 10 Home) Gamer Notebook Computer","$1,399.99",https://www.amazon.com/Notebook-i7-8750H-GeForce-Windows-Computer/dp/B079SCFYPF/ref=sr_1_51?keywords=gaming+laptop&qid=1583954959&sr=8-51,4.5,35,Computer Upgrade King,16GB RAM | 512GB NVMe SSD / 32GB RAM | 1TB NVMe SSD / 32GB RAM | 2TB NVMe SSD / 32GB RAM | 512GB NVMe SSD / 64GB RAM | 1TB NVMe SSD / 64GB RAM | 2TB NVMe SSD,"Processor: Intel Core i7-9750H Six Core Processor (12MB Cache, 2.6GHz-4.5GHz) 45W 
 RAM: 32GB DDR4 2666MHz | Hard Drive: 1TB NVMe Solid State Drive 
 Keyboard: Single Backlight with Anti-Ghost Key + Silver Lining | Operating System: Windows 10 Home x64 
 Graphics: NVIDIA GeForce RTX 2060 6GB GDDR6 | Display: 15.6"" Full HD 120Hz IPS-Level Thin Bezel Display (1920 x 1080) 
 32GB RAM + 1TB NVMe SSD Upgrades | 3-Year CUK Limited Warranty (View warranty section below for more details.)",FREE Shipping,FREE Returns,In Stock.
"CUK MSI GF65 Thin Gaming Laptop (Intel i7-9750H, 16GB RAM, 512GB NVMe SSD, NVIDIA GeForce GTX 1660 Ti 6GB, 15.6"" FHD 120Hz IPS-Level, Windows 10 Home) Gamer Notebook Computer",$944.99,https://www.amazon.com/GF65-i7-9750H-IPS-Level-Notebook-Computer/dp/B07YM3TMN9/ref=sr_1_52?keywords=gaming+laptop&qid=1583954959&sr=8-52,4.6,22,N/A,i7 | 16GB RAM | 512GB NVMe SSD / i7 | 32GB RAM | 1TB NVMe SSD / i7 | 32GB RAM | 2TB NVMe SSD / i7 | 32GB RAM | 512GB NVMe SSD / i7 | 64GB RAM | 2TB NVMe SSD,"Processor: Intel Core i7-9750H Six Core Processor (12MB Cache, 2.6GHz-4.5GHz) 45W 
 RAM: 16GB DDR4 2666MHz | Hard Drive: 512GB NVMe Solid State Drive 
 Keyboard: Single Backlight with Anti-Ghost Key + Silver Lining | Operating System: Windows 10 Home x64 
 Graphics: NVIDIA GeForce GTX 1660 Ti 6GB GDDR6 | Display: 15.6"" Full HD 120Hz IPS-Level Thin Bezel Display (1920 x 1080) 
 16GB RAM Upgrade | 3-Year CUK Limited Warranty (View warranty section below for more details.)",FREE Shipping,FREE Returns,Only 8 left in stock - order soon.
"Lenovo Ideapad L340 Gaming Laptop, 15.6 Inch FHD (1920 X 1080) IPS Display, Intel Core i5-9300H Processor, 8GB DDR4 RAM, 512GB Nvme SSD, NVIDIA GeForce GTX 1650, Windows 10, 81LK00HDUS, Black",$721.98,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A05453113E8600LF6WIUW&url=%2FLenovo-Ideapad-i5-9300H-Processor-81LK00HDUS%2Fdp%2FB07VC55LF5%2Fref%3Dsr_1_53_sspa%3Fkeywords%3Dgaming%2Blaptop%26qid%3D1583954959%26sr%3D8-53-spons%26psc%3D1&qualifier=1583954959&id=515927864174706&widgetName=sp_btf,4.4,396,Lenovo,"Laptop + Bag / Laptop + Mouse Pad, medium / Laptop + Mouse Pad, small / Single","A new dimension of gaming performance awaits - with 9th-generation Intel Core i5 processors, the IdeaPad L340 gaming has the power you need to outshoot, outrun, and outsmart anyone. Includes 8GB DDR4 RAM and 512GB NVMe SSD 
 Take it to the next level - with the latest NVIDIA GeForce Graphics behind you, you can tame the hottest titles with faster, smoother, and more power-efficient gameplay. Plus, the 15.6-Inch Screen delivers a stunning full HD IPS Display with 1920 x 1080 resolution 
 A portal to a new sound Dimension - hardwired into every IdeaPad L340 gaming is advanced Dolby Audio technology. Take your mobile gaming experience to another dimension and have a real blast along the way 
 Control your own Fate - GAME in 'quick' Mode or work in 'quiet' Mode. It's your call with a simple function setting that lets you shift gears between modes, instantly. 
 Final product may vary slightly from image",FREE Shipping,FREE Returns,In Stock.
"Asus ROG Strix Scar III (2019) Gaming Laptop, 15.6” 240Hz IPS Type FHD, NVIDIA GeForce RTX 2060, Intel Core i7-9750H, 16GB DDR4, 1TB PCIe Nvme SSD, Per-Key RGB KB, Windows 10, G531GV-DB76","$1,699.99",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_2?ie=UTF8&adId=A0544911XI2CT87F652P&url=%2FGaming-GeForce-i7-9750H-Windows-G531GV-DB76%2Fdp%2FB07S3L9LPT%2Fref%3Dsr_1_54_sspa%3Fkeywords%3Dgaming%2Blaptop%26qid%3D1583954959%26sr%3D8-54-spons%26psc%3D1&qualifier=1583954959&id=515927864174706&widgetName=sp_btf,4.4,127,N/A,144Hz | 512GB SSD | RTX 2070 / 240Hz | 1TB SSD | RTX 2060 / 240Hz | 1TB SSD | RTX 2070,"Nvidia GeForce RTX 2060 6GB GDDR6 (base: 1110MHz, Boost: 1335MHz, TDP: 80W) 
 Latest 9th Gen Intel Core i7-9750h Processor.Bluetooth 5.0 
 240Hz 15.6” Full HD 1920x1080 IPS Type Display 
 16GB DDR4 2666MHz RAM | 1TB PCIe SSD | Windows 10 Home | Gigabit wave 2 Wi-Fi 5 (802.11AC 2x2) 
 Rog intelligent cooling Thermal system with dual 12V fans, anti-dust technology, and adjustable fan modes",FREE Shipping,FREE Returns,In Stock.
